m,n,k,p,algorithm,time,case
19198,19198,19198,468,COSMA (this work) ,1627.2359999999999,memory_p2
19198,19198,19198,468,COSMA (this work) ,1423.8314999999998,memory_p2
20136,20136,20136,512,COSMA (this work) ,1377.5,memory_p2
20136,20136,20136,512,COSMA (this work) ,1349.95,memory_p2
20136,20136,20136,512,COSMA (this work) ,1446.375,memory_p2
20574,20574,20574,541,COSMA (this work) ,1484,memory_p2
20574,20574,20574,541,COSMA (this work) ,1469.16,memory_p2
20574,20574,20574,541,COSMA (this work) ,1394.96,memory_p2
20574,20574,20574,576,COSMA (this work) ,1352.8,memory_p2
20574,20574,20574,576,COSMA (this work) ,1339.272,memory_p2
20574,20574,20574,576,COSMA (this work) ,1244.576,memory_p2
23874,23874,23874,865,COSMA (this work) ,1476,memory_p2
23874,23874,23874,865,COSMA (this work) ,1416.96,memory_p2
23874,23874,23874,865,COSMA (this work) ,1549.8,memory_p2
23874,23874,23874,900,COSMA (this work) ,1446.85,memory_p2
23874,23874,23874,900,COSMA (this work) ,1504.724,memory_p2
23874,23874,23874,900,COSMA (this work) ,1345.5704999999998,memory_p2
24494,24494,24494,937,COSMA (this work) ,1614,memory_p2
24494,24494,24494,937,COSMA (this work) ,1646.28,memory_p2
24494,24494,24494,937,COSMA (this work) ,1533.3,memory_p2
24494,24494,24494,972,COSMA (this work) ,1438.3,memory_p2
24494,24494,24494,972,COSMA (this work) ,1409.5339999999999,memory_p2
24494,24494,24494,972,COSMA (this work) ,1524.598,memory_p2
25085,25085,25085,1024,COSMA (this work) ,1502.8999999999999,memory_p2
25085,25085,25085,1024,COSMA (this work) ,1442.7839999999999,memory_p2
25085,25085,25085,1024,COSMA (this work) ,1427.7549999999999,memory_p2
25922,25922,25922,1117,COSMA (this work) ,1701,memory_p2
25922,25922,25922,1117,COSMA (this work) ,1769.04,memory_p2
25922,25922,25922,1117,COSMA (this work) ,1803.06,memory_p2
25922,25922,25922,1152,COSMA (this work) ,1345.2,memory_p2
25922,25922,25922,1152,COSMA (this work) ,1358.652,memory_p2
25922,25922,25922,1152,COSMA (this work) ,1452.816,memory_p2
27207,27207,27207,1297,COSMA (this work) ,1450,memory_p2
27207,27207,27207,1297,COSMA (this work) ,1406.5,memory_p2
27207,27207,27207,1297,COSMA (this work) ,1334.0,memory_p2
27207,27207,27207,1332,COSMA (this work) ,1506.6999999999998,memory_p2
27207,27207,27207,1332,COSMA (this work) ,1551.9009999999998,memory_p2
27207,27207,27207,1332,COSMA (this work) ,1386.1639999999998,memory_p2
31422,31422,31422,2048,COSMA (this work) ,1719.5,memory_p2
31422,31422,31422,2048,COSMA (this work) ,1753.89,memory_p2
31422,31422,31422,2048,COSMA (this work) ,1581.94,memory_p2
32141,32141,32141,2161,COSMA (this work) ,1545,memory_p2
32141,32141,32141,2161,COSMA (this work) ,1575.9,memory_p2
32141,32141,32141,2161,COSMA (this work) ,1467.75,memory_p2
32141,32141,32141,2196,COSMA (this work) ,1587.4499999999998,memory_p2
32141,32141,32141,2196,COSMA (this work) ,1650.9479999999999,memory_p2
32141,32141,32141,2196,COSMA (this work) ,1698.5714999999998,memory_p2
32659,32659,32659,2269,COSMA (this work) ,1822,memory_p2
32659,32659,32659,2269,COSMA (this work) ,1803.78,memory_p2
32659,32659,32659,2269,COSMA (this work) ,1967.76,memory_p2
32659,32659,32659,2304,COSMA (this work) ,1382.25,memory_p2
32659,32659,32659,2304,COSMA (this work) ,1396.0725,memory_p2
32659,32659,32659,2304,COSMA (this work) ,1451.3625,memory_p2
35327,35327,35327,2881,COSMA (this work) ,1577,memory_p2
35327,35327,35327,2881,COSMA (this work) ,1624.31,memory_p2
35327,35327,35327,2881,COSMA (this work) ,1482.38,memory_p2
35327,35327,35327,2916,COSMA (this work) ,1482.0,memory_p2
35327,35327,35327,2916,COSMA (this work) ,1526.46,memory_p2
35327,35327,35327,2916,COSMA (this work) ,1393.08,memory_p2
36992,36992,36992,3313,COSMA (this work) ,1916,memory_p2
36992,36992,36992,3313,COSMA (this work) ,1935.16,memory_p2
36992,36992,36992,3313,COSMA (this work) ,1743.56,memory_p2
36992,36992,36992,3348,COSMA (this work) ,1668.1999999999998,memory_p2
36992,36992,36992,3348,COSMA (this work) ,1734.9279999999999,memory_p2
36992,36992,36992,3348,COSMA (this work) ,1768.292,memory_p2
39590,39590,39590,4096,COSMA (this work) ,1443.05,memory_p2
39590,39590,39590,4096,COSMA (this work) ,1385.328,memory_p2
39590,39590,39590,4096,COSMA (this work) ,1327.606,memory_p2
41148,41148,41148,4573,COSMA (this work) ,1812,memory_p2
41148,41148,41148,4573,COSMA (this work) ,1830.12,memory_p2
41148,41148,41148,4573,COSMA (this work) ,1648.92,memory_p2
41148,41148,41148,4608,COSMA (this work) ,1528.55,memory_p2
41148,41148,41148,4608,COSMA (this work) ,1559.1209999999999,memory_p2
41148,41148,41148,4608,COSMA (this work) ,1452.1225,memory_p2
47828,47828,47828,7201,COSMA (this work) ,1576,memory_p2
47828,47828,47828,7201,COSMA (this work) ,1544.48,memory_p2
47828,47828,47828,7201,COSMA (this work) ,1497.2,memory_p2
47828,47828,47828,7236,COSMA (this work) ,1847.75,memory_p2
47828,47828,47828,7236,COSMA (this work) ,1810.795,memory_p2
47828,47828,47828,7236,COSMA (this work) ,1958.615,memory_p2
48989,48989,48989,7741,COSMA (this work) ,1652,memory_p2
48989,48989,48989,7741,COSMA (this work) ,1635.48,memory_p2
48989,48989,48989,7741,COSMA (this work) ,1536.36,memory_p2
48989,48989,48989,7776,COSMA (this work) ,1561.8,memory_p2
48989,48989,48989,7776,COSMA (this work) ,1499.328,memory_p2
48989,48989,48989,7776,COSMA (this work) ,1702.3619999999999,memory_p2
49880,49880,49880,8192,COSMA (this work) ,1547.55,memory_p2
49880,49880,49880,8192,COSMA (this work) ,1609.452,memory_p2
49880,49880,49880,8192,COSMA (this work) ,1655.8785,memory_p2
51844,51844,51844,9216,COSMA (this work) ,1437.35,memory_p2
51844,51844,51844,9216,COSMA (this work) ,1451.7234999999998,memory_p2
51844,51844,51844,9216,COSMA (this work) ,1523.591,memory_p2
56593,56593,56593,11953,COSMA (this work) ,2071,memory_p2
56593,56593,56593,11953,COSMA (this work) ,2112.42,memory_p2
56593,56593,56593,11953,COSMA (this work) ,2215.97,memory_p2
56593,56593,56593,11988,COSMA (this work) ,1948.4499999999998,memory_p2
56593,56593,56593,11988,COSMA (this work) ,1928.9654999999998,memory_p2
56593,56593,56593,11988,COSMA (this work) ,1851.0275,memory_p2
62845,62845,62845,16384,COSMA (this work) ,1596.9499999999998,memory_p2
62845,62845,62845,16384,COSMA (this work) ,1580.9805,memory_p2
62845,62845,62845,16384,COSMA (this work) ,1740.6754999999998,memory_p2
63617,63617,63617,16993,COSMA (this work) ,1945,memory_p2
63617,63617,63617,16993,COSMA (this work) ,1964.45,memory_p2
63617,63617,63617,16993,COSMA (this work) ,1808.85,memory_p2
63617,63617,63617,17028,COSMA (this work) ,1856.3,memory_p2
63617,63617,63617,17028,COSMA (this work) ,1800.6109999999999,memory_p2
63617,63617,63617,17028,COSMA (this work) ,2023.367,memory_p2
65319,65319,65319,18397,COSMA (this work) ,2170,memory_p2
65319,65319,65319,18397,COSMA (this work) ,2256.8,memory_p2
65319,65319,65319,18397,COSMA (this work) ,2018.1,memory_p2
65319,65319,65319,18432,COSMA (this work) ,1757.5,memory_p2
65319,65319,65319,18432,COSMA (this work) ,1704.775,memory_p2
65319,65319,65319,18432,COSMA (this work) ,1898.1,memory_p2
17408,17408,3735552,4096,CARMA [21] ,52629.15,strong
17408,17408,3735552,4096,CARMA [21] ,50523.984000000004,strong
17408,17408,3735552,4096,CARMA [21] ,55260.6075,strong
17408,17408,3735552,8192,CARMA [21] ,50510.25,strong
17408,17408,3735552,8192,CARMA [21] ,48994.9425,strong
17408,17408,3735552,8192,CARMA [21] ,53035.7625,strong
17408,17408,3735552,16384,CARMA [21] ,25088.7,strong
17408,17408,3735552,16384,CARMA [21] ,24837.813000000002,strong
17408,17408,3735552,16384,CARMA [21] ,23583.378,strong
17408,17408,3735552,2916,ScaLAPACK [51] ,103049,strong
17408,17408,3735552,2916,ScaLAPACK [51] ,106140.47,strong
17408,17408,3735552,2916,ScaLAPACK [51] ,112323.41,strong
17408,17408,3735552,3348,ScaLAPACK [51] ,86903,strong
17408,17408,3735552,3348,ScaLAPACK [51] ,87772.03,strong
17408,17408,3735552,3348,ScaLAPACK [51] ,81688.82,strong
17408,17408,3735552,4096,ScaLAPACK [51] ,32780,strong
17408,17408,3735552,4096,ScaLAPACK [51] ,32124.4,strong
17408,17408,3735552,4096,ScaLAPACK [51] ,31141.0,strong
17408,17408,3735552,4608,ScaLAPACK [51] ,64018,strong
17408,17408,3735552,4608,ScaLAPACK [51] ,65938.54,strong
17408,17408,3735552,4608,ScaLAPACK [51] ,67218.9,strong
17408,17408,3735552,7236,ScaLAPACK [51] ,44602,strong
17408,17408,3735552,7236,ScaLAPACK [51] ,43263.94,strong
17408,17408,3735552,7236,ScaLAPACK [51] ,48170.16,strong
17408,17408,3735552,7776,ScaLAPACK [51] ,48845,strong
17408,17408,3735552,7776,ScaLAPACK [51] ,49821.9,strong
17408,17408,3735552,7776,ScaLAPACK [51] ,45914.3,strong
17408,17408,3735552,8192,ScaLAPACK [51] ,15323,strong
17408,17408,3735552,8192,ScaLAPACK [51] ,14863.31,strong
17408,17408,3735552,8192,ScaLAPACK [51] ,14250.39,strong
17408,17408,3735552,9216,ScaLAPACK [51] ,57642,strong
17408,17408,3735552,9216,ScaLAPACK [51] ,59371.26,strong
17408,17408,3735552,9216,ScaLAPACK [51] ,54183.48,strong
17408,17408,3735552,11988,ScaLAPACK [51] ,50100,strong
17408,17408,3735552,11988,ScaLAPACK [51] ,49599.0,strong
17408,17408,3735552,11988,ScaLAPACK [51] ,54108.0,strong
17408,17408,3735552,16384,ScaLAPACK [51] ,33414,strong
17408,17408,3735552,16384,ScaLAPACK [51] ,32077.44,strong
17408,17408,3735552,16384,ScaLAPACK [51] ,30406.739999999998,strong
17408,17408,3735552,17028,ScaLAPACK [51] ,38652,strong
17408,17408,3735552,17028,ScaLAPACK [51] ,39038.52,strong
17408,17408,3735552,17028,ScaLAPACK [51] ,36719.4,strong
17408,17408,3735552,18432,ScaLAPACK [51] ,26619,strong
17408,17408,3735552,18432,ScaLAPACK [51] ,26885.19,strong
17408,17408,3735552,18432,ScaLAPACK [51] ,24489.48,strong
17408,17408,3735552,2916,CTF [47] ,279056,strong
17408,17408,3735552,2916,CTF [47] ,273474.88,strong
17408,17408,3735552,2916,CTF [47] ,293008.8,strong
17408,17408,3735552,3348,CTF [47] ,34923,strong
17408,17408,3735552,3348,CTF [47] ,34224.54,strong
17408,17408,3735552,3348,CTF [47] ,33176.85,strong
17408,17408,3735552,4096,CTF [47] ,39209,strong
17408,17408,3735552,4096,CTF [47] ,40777.36,strong
17408,17408,3735552,4096,CTF [47] ,36464.37,strong
17408,17408,3735552,4608,CTF [47] ,82024,strong
17408,17408,3735552,4608,CTF [47] ,84484.72,strong
17408,17408,3735552,4608,CTF [47] ,76282.32,strong
17408,17408,3735552,7236,CTF [47] ,19719,strong
17408,17408,3735552,7236,CTF [47] ,19324.62,strong
17408,17408,3735552,7236,CTF [47] ,18733.05,strong
17408,17408,3735552,7776,CTF [47] ,15781,strong
17408,17408,3735552,7776,CTF [47] ,16254.43,strong
17408,17408,3735552,7776,CTF [47] ,14518.52,strong
17408,17408,3735552,8192,CTF [47] ,17284,strong
17408,17408,3735552,8192,CTF [47] ,17802.52,strong
17408,17408,3735552,8192,CTF [47] ,18839.56,strong
17408,17408,3735552,9216,CTF [47] ,246958,strong
17408,17408,3735552,9216,CTF [47] ,237079.68,strong
17408,17408,3735552,9216,CTF [47] ,234610.1,strong
17408,17408,3735552,11988,CTF [47] ,12159,strong
17408,17408,3735552,11988,CTF [47] ,12280.59,strong
17408,17408,3735552,11988,CTF [47] ,12766.95,strong
17408,17408,3735552,16384,CTF [47] ,9002,strong
17408,17408,3735552,16384,CTF [47] ,9182.04,strong
17408,17408,3735552,16384,CTF [47] ,9632.14,strong
17408,17408,3735552,17028,CTF [47] ,12745,strong
17408,17408,3735552,17028,CTF [47] ,12490.1,strong
17408,17408,3735552,17028,CTF [47] ,13637.15,strong
17408,17408,3735552,18432,CTF [47] ,8625,strong
17408,17408,3735552,18432,CTF [47] ,8452.5,strong
17408,17408,3735552,18432,CTF [47] ,9228.75,strong
17408,17408,3735552,2916,COSMA (this work) ,31540.0,strong
17408,17408,3735552,2916,COSMA (this work) ,30593.8,strong
17408,17408,3735552,2916,COSMA (this work) ,29963.0,strong
17408,17408,3735552,3348,COSMA (this work) ,28151.35,strong
17408,17408,3735552,3348,COSMA (this work) ,28714.376999999997,strong
17408,17408,3735552,3348,COSMA (this work) ,25617.728499999997,strong
17408,17408,3735552,4096,COSMA (this work) ,19432.25,strong
17408,17408,3735552,4096,COSMA (this work) ,20724.72,strong
17408,17408,3735552,4096,COSMA (this work) ,21540.0875,strong
17408,17408,3735552,4608,COSMA (this work) ,17056.3,strong
17408,17408,3735552,4608,COSMA (this work) ,17397.426,strong
17408,17408,3735552,4608,COSMA (this work) ,18079.678,strong
17408,17408,3735552,7236,COSMA (this work) ,11343.0,strong
17408,17408,3735552,7236,COSMA (this work) ,11229.57,strong
17408,17408,3735552,7236,COSMA (this work) ,12250.44,strong
17408,17408,3735552,7776,COSMA (this work) ,10525.05,strong
17408,17408,3735552,7776,COSMA (this work) ,10630.3005,strong
17408,17408,3735552,7776,COSMA (this work) ,11261.8035,strong
17408,17408,3735552,8192,COSMA (this work) ,11764.8,strong
17408,17408,3735552,8192,COSMA (this work) ,12235.392,strong
17408,17408,3735552,8192,COSMA (this work) ,11176.56,strong
17408,17408,3735552,9216,COSMA (this work) ,8805.55,strong
17408,17408,3735552,9216,COSMA (this work) ,9069.716499999999,strong
17408,17408,3735552,9216,COSMA (this work) ,8277.216999999999,strong
17408,17408,3735552,11988,COSMA (this work) ,7315.0,strong
17408,17408,3735552,11988,COSMA (this work) ,7168.7,strong
17408,17408,3735552,11988,COSMA (this work) ,7753.9,strong
17408,17408,3735552,16384,COSMA (this work) ,5583.15,strong
17408,17408,3735552,16384,COSMA (this work) ,5750.644499999999,strong
17408,17408,3735552,16384,COSMA (this work) ,6085.6335,strong
17408,17408,3735552,17028,COSMA (this work) ,7610.45,strong
17408,17408,3735552,17028,COSMA (this work) ,7534.345499999999,strong
17408,17408,3735552,17028,COSMA (this work) ,6925.5095,strong
17408,17408,3735552,18432,COSMA (this work) ,5537.55,strong
17408,17408,3735552,18432,COSMA (this work) ,5426.799,strong
17408,17408,3735552,18432,COSMA (this work) ,6035.9295,strong
2052,2052,129864,128,CARMA [21] ,1523.55,memory_p1
2052,2052,129864,128,CARMA [21] ,1584.492,memory_p1
2052,2052,129864,128,CARMA [21] ,1614.963,memory_p1
2586,2586,206152,256,CARMA [21] ,1529.8500000000001,memory_p1
2586,2586,206152,256,CARMA [21] ,1514.5515,memory_p1
2586,2586,206152,256,CARMA [21] ,1667.5365000000002,memory_p1
3189,3189,313444,512,CARMA [21] ,1552.95,memory_p1
3189,3189,313444,512,CARMA [21] ,1584.009,memory_p1
3189,3189,313444,512,CARMA [21] ,1459.7730000000001,memory_p1
3973,3973,486494,1024,CARMA [21] ,894.6,memory_p1
3973,3973,486494,1024,CARMA [21] ,930.384,memory_p1
3973,3973,486494,1024,CARMA [21] ,939.33,memory_p1
4977,4977,763426,2048,CARMA [21] ,3231.9,memory_p1
4977,4977,763426,2048,CARMA [21] ,3102.6240000000003,memory_p1
4977,4977,763426,2048,CARMA [21] ,3393.495,memory_p1
6270,6270,1211833,4096,CARMA [21] ,4015.2000000000003,memory_p1
6270,6270,1211833,4096,CARMA [21] ,3975.0480000000002,memory_p1
6270,6270,1211833,4096,CARMA [21] ,3774.2880000000005,memory_p1
7900,7900,1923708,8192,CARMA [21] ,1886.8500000000001,memory_p1
7900,7900,1923708,8192,CARMA [21] ,1943.4555,memory_p1
7900,7900,1923708,8192,CARMA [21] ,2018.9295000000002,memory_p1
9954,9954,3053705,16384,CARMA [21] ,6435.45,memory_p1
9954,9954,3053705,16384,CARMA [21] ,6499.8045,memory_p1
9954,9954,3053705,16384,CARMA [21] ,6757.2225,memory_p1
2052,2052,129864,128,ScaLAPACK [51] ,1335,memory_p1
2052,2052,129864,128,ScaLAPACK [51] ,1308.3,memory_p1
2052,2052,129864,128,ScaLAPACK [51] ,1268.25,memory_p1
2052,2052,129864,144,ScaLAPACK [51] ,1297,memory_p1
2052,2052,129864,144,ScaLAPACK [51] ,1335.91,memory_p1
2052,2052,129864,144,ScaLAPACK [51] ,1206.21,memory_p1
2474,2474,188623,252,ScaLAPACK [51] ,1339,memory_p1
2474,2474,188623,252,ScaLAPACK [51] ,1365.78,memory_p1
2474,2474,188623,252,ScaLAPACK [51] ,1446.12,memory_p1
2586,2586,206152,256,ScaLAPACK [51] ,1509,memory_p1
2586,2586,206152,256,ScaLAPACK [51] ,1554.27,memory_p1
2586,2586,206152,256,ScaLAPACK [51] ,1403.37,memory_p1
2586,2586,206152,288,ScaLAPACK [51] ,1470,memory_p1
2586,2586,206152,288,ScaLAPACK [51] ,1425.9,memory_p1
2586,2586,206152,288,ScaLAPACK [51] ,1352.4,memory_p1
3040,3040,284952,468,ScaLAPACK [51] ,1599,memory_p1
3040,3040,284952,468,ScaLAPACK [51] ,1630.98,memory_p1
3040,3040,284952,468,ScaLAPACK [51] ,1455.09,memory_p1
3189,3189,313444,512,ScaLAPACK [51] ,2812,memory_p1
3189,3189,313444,512,ScaLAPACK [51] ,2727.64,memory_p1
3189,3189,313444,512,ScaLAPACK [51] ,2952.6,memory_p1
3258,3258,327274,576,ScaLAPACK [51] ,2759,memory_p1
3258,3258,327274,576,ScaLAPACK [51] ,2869.36,memory_p1
3258,3258,327274,576,ScaLAPACK [51] ,3007.31,memory_p1
3781,3781,440705,900,ScaLAPACK [51] ,4033,memory_p1
3781,3781,440705,900,ScaLAPACK [51] ,4113.66,memory_p1
3781,3781,440705,900,ScaLAPACK [51] ,4234.65,memory_p1
3879,3879,463842,972,ScaLAPACK [51] ,3658,memory_p1
3879,3879,463842,972,ScaLAPACK [51] ,3621.42,memory_p1
3879,3879,463842,972,ScaLAPACK [51] ,3840.9,memory_p1
3973,3973,486494,1024,ScaLAPACK [51] ,3469,memory_p1
3973,3973,486494,1024,ScaLAPACK [51] ,3573.07,memory_p1
3973,3973,486494,1024,ScaLAPACK [51] ,3677.14,memory_p1
4106,4106,519558,1152,ScaLAPACK [51] ,3248,memory_p1
4106,4106,519558,1152,ScaLAPACK [51] ,3345.44,memory_p1
4106,4106,519558,1152,ScaLAPACK [51] ,3475.36,memory_p1
4309,4309,572362,1332,ScaLAPACK [51] ,2054,memory_p1
4309,4309,572362,1332,ScaLAPACK [51] ,2074.54,memory_p1
4309,4309,572362,1332,ScaLAPACK [51] ,2177.24,memory_p1
4977,4977,763426,2048,ScaLAPACK [51] ,5191,memory_p1
4977,4977,763426,2048,ScaLAPACK [51] ,5242.91,memory_p1
4977,4977,763426,2048,ScaLAPACK [51] ,5606.28,memory_p1
5090,5090,798672,2196,ScaLAPACK [51] ,2316,memory_p1
5090,5090,798672,2196,ScaLAPACK [51] ,2292.84,memory_p1
5090,5090,798672,2196,ScaLAPACK [51] ,2177.04,memory_p1
5173,5173,824736,2304,ScaLAPACK [51] ,6603,memory_p1
5173,5173,824736,2304,ScaLAPACK [51] ,6735.06,memory_p1
5173,5173,824736,2304,ScaLAPACK [51] ,7197.27,memory_p1
5595,5595,964917,2916,ScaLAPACK [51] ,7593,memory_p1
5595,5595,964917,2916,ScaLAPACK [51] ,7289.28,memory_p1
5595,5595,964917,2916,ScaLAPACK [51] ,7213.35,memory_p1
5859,5859,1057970,3348,ScaLAPACK [51] ,5657,memory_p1
5859,5859,1057970,3348,ScaLAPACK [51] ,5826.71,memory_p1
5859,5859,1057970,3348,ScaLAPACK [51] ,6109.56,memory_p1
6270,6270,1211833,4096,ScaLAPACK [51] ,2910,memory_p1
6270,6270,1211833,4096,ScaLAPACK [51] ,2851.8,memory_p1
6270,6270,1211833,4096,ScaLAPACK [51] ,3142.8,memory_p1
6517,6517,1309098,4608,ScaLAPACK [51] ,7117,memory_p1
6517,6517,1309098,4608,ScaLAPACK [51] ,7401.68,memory_p1
6517,6517,1309098,4608,ScaLAPACK [51] ,7615.19,memory_p1
7575,7575,1768606,7236,ScaLAPACK [51] ,5116,memory_p1
7575,7575,1768606,7236,ScaLAPACK [51] ,4962.52,memory_p1
7575,7575,1768606,7236,ScaLAPACK [51] ,5422.96,memory_p1
7759,7759,1855562,7776,ScaLAPACK [51] ,9967,memory_p1
7759,7759,1855562,7776,ScaLAPACK [51] ,10365.68,memory_p1
7759,7759,1855562,7776,ScaLAPACK [51] ,10764.36,memory_p1
7900,7900,1923708,8192,ScaLAPACK [51] ,2282,memory_p1
7900,7900,1923708,8192,ScaLAPACK [51] ,2327.64,memory_p1
7900,7900,1923708,8192,ScaLAPACK [51] ,2464.56,memory_p1
8212,8212,2078236,9216,ScaLAPACK [51] ,13367,memory_p1
8212,8212,2078236,9216,ScaLAPACK [51] ,13634.34,memory_p1
8212,8212,2078236,9216,ScaLAPACK [51] ,14302.69,memory_p1
8964,8964,2476285,11988,ScaLAPACK [51] ,14875,memory_p1
8964,8964,2476285,11988,ScaLAPACK [51] ,14428.75,memory_p1
8964,8964,2476285,11988,ScaLAPACK [51] ,16065.0,memory_p1
9954,9954,3053705,16384,ScaLAPACK [51] ,14795,memory_p1
9954,9954,3053705,16384,ScaLAPACK [51] ,15238.85,memory_p1
9954,9954,3053705,16384,ScaLAPACK [51] ,15978.6,memory_p1
10076,10076,3129264,17028,ScaLAPACK [51] ,16876,memory_p1
10076,10076,3129264,17028,ScaLAPACK [51] ,17551.04,memory_p1
10076,10076,3129264,17028,ScaLAPACK [51] ,15525.92,memory_p1
10346,10346,3298948,18432,ScaLAPACK [51] ,15836,memory_p1
10346,10346,3298948,18432,ScaLAPACK [51] ,15202.56,memory_p1
10346,10346,3298948,18432,ScaLAPACK [51] ,17102.88,memory_p1
2052,2052,129864,128,CTF [47] ,647,memory_p1
2052,2052,129864,128,CTF [47] ,672.88,memory_p1
2052,2052,129864,128,CTF [47] ,608.18,memory_p1
2052,2052,129864,144,CTF [47] ,929,memory_p1
2052,2052,129864,144,CTF [47] ,919.71,memory_p1
2052,2052,129864,144,CTF [47] ,1003.3199999999999,memory_p1
2474,2474,188623,252,CTF [47] ,2171,memory_p1
2474,2474,188623,252,CTF [47] ,2149.29,memory_p1
2474,2474,188623,252,CTF [47] ,2301.26,memory_p1
2586,2586,206152,256,CTF [47] ,2022,memory_p1
2586,2586,206152,256,CTF [47] ,2062.44,memory_p1
2586,2586,206152,256,CTF [47] ,1920.9,memory_p1
2586,2586,206152,288,CTF [47] ,2036,memory_p1
2586,2586,206152,288,CTF [47] ,2056.36,memory_p1
2586,2586,206152,288,CTF [47] ,1913.84,memory_p1
3040,3040,284952,468,CTF [47] ,1122,memory_p1
3040,3040,284952,468,CTF [47] ,1099.56,memory_p1
3040,3040,284952,468,CTF [47] ,1021.02,memory_p1
3189,3189,313444,512,CTF [47] ,4015,memory_p1
3189,3189,313444,512,CTF [47] ,4135.45,memory_p1
3189,3189,313444,512,CTF [47] ,3774.1,memory_p1
3258,3258,327274,576,CTF [47] ,3818,memory_p1
3258,3258,327274,576,CTF [47] ,3741.64,memory_p1
3258,3258,327274,576,CTF [47] ,3588.92,memory_p1
3781,3781,440705,900,CTF [47] ,7083,memory_p1
3781,3781,440705,900,CTF [47] ,7012.17,memory_p1
3781,3781,440705,900,CTF [47] ,6516.36,memory_p1
3879,3879,463842,972,CTF [47] ,8925,memory_p1
3879,3879,463842,972,CTF [47] ,9282.0,memory_p1
3879,3879,463842,972,CTF [47] ,8211.0,memory_p1
3973,3973,486494,1024,CTF [47] ,7767,memory_p1
3973,3973,486494,1024,CTF [47] ,7533.99,memory_p1
3973,3973,486494,1024,CTF [47] ,7378.65,memory_p1
4106,4106,519558,1152,CTF [47] ,9062,memory_p1
4106,4106,519558,1152,CTF [47] ,9152.62,memory_p1
4106,4106,519558,1152,CTF [47] ,8427.66,memory_p1
4309,4309,572362,1332,CTF [47] ,3275,memory_p1
4309,4309,572362,1332,CTF [47] ,3406.0,memory_p1
4309,4309,572362,1332,CTF [47] ,3045.75,memory_p1
4977,4977,763426,2048,CTF [47] ,17513,memory_p1
4977,4977,763426,2048,CTF [47] ,17688.13,memory_p1
4977,4977,763426,2048,CTF [47] ,18914.04,memory_p1
5090,5090,798672,2196,CTF [47] ,4150,memory_p1
5090,5090,798672,2196,CTF [47] ,4191.5,memory_p1
5090,5090,798672,2196,CTF [47] ,3859.5,memory_p1
5173,5173,824736,2304,CTF [47] ,17160,memory_p1
5173,5173,824736,2304,CTF [47] ,17674.8,memory_p1
5173,5173,824736,2304,CTF [47] ,15615.6,memory_p1
5595,5595,964917,2916,CTF [47] ,21027,memory_p1
5595,5595,964917,2916,CTF [47] ,20185.92,memory_p1
5595,5595,964917,2916,CTF [47] ,22709.16,memory_p1
5859,5859,1057970,3348,CTF [47] ,1823,memory_p1
5859,5859,1057970,3348,CTF [47] ,1895.92,memory_p1
5859,5859,1057970,3348,CTF [47] ,1677.16,memory_p1
6270,6270,1211833,4096,CTF [47] ,28131,memory_p1
6270,6270,1211833,4096,CTF [47] ,27005.76,memory_p1
6270,6270,1211833,4096,CTF [47] ,26443.14,memory_p1
6517,6517,1309098,4608,CTF [47] ,2022,memory_p1
6517,6517,1309098,4608,CTF [47] ,2082.66,memory_p1
6517,6517,1309098,4608,CTF [47] ,2183.76,memory_p1
7575,7575,1768606,7236,CTF [47] ,2579,memory_p1
7575,7575,1768606,7236,CTF [47] ,2604.79,memory_p1
7575,7575,1768606,7236,CTF [47] ,2707.95,memory_p1
7759,7759,1855562,7776,CTF [47] ,2573,memory_p1
7759,7759,1855562,7776,CTF [47] ,2547.27,memory_p1
7759,7759,1855562,7776,CTF [47] ,2727.38,memory_p1
7900,7900,1923708,8192,CTF [47] ,2735,memory_p1
7900,7900,1923708,8192,CTF [47] ,2707.65,memory_p1
7900,7900,1923708,8192,CTF [47] ,2516.2,memory_p1
8212,8212,2078236,9216,CTF [47] ,56083,memory_p1
8212,8212,2078236,9216,CTF [47] ,54400.51,memory_p1
8212,8212,2078236,9216,CTF [47] ,58887.15,memory_p1
8964,8964,2476285,11988,CTF [47] ,2714,memory_p1
8964,8964,2476285,11988,CTF [47] ,2741.14,memory_p1
8964,8964,2476285,11988,CTF [47] ,2876.84,memory_p1
9954,9954,3053705,16384,CTF [47] ,3101,memory_p1
9954,9954,3053705,16384,CTF [47] ,3194.03,memory_p1
9954,9954,3053705,16384,CTF [47] ,2883.93,memory_p1
10076,10076,3129264,17028,CTF [47] ,4995,memory_p1
10076,10076,3129264,17028,CTF [47] ,5094.9,memory_p1
10076,10076,3129264,17028,CTF [47] ,5244.75,memory_p1
10346,10346,3298948,18432,CTF [47] ,3352,memory_p1
10346,10346,3298948,18432,CTF [47] ,3452.56,memory_p1
10346,10346,3298948,18432,CTF [47] ,3620.16,memory_p1
2052,2052,129864,128,COSMA (this work) ,392.34999999999997,memory_p1
2052,2052,129864,128,COSMA (this work) ,376.65599999999995,memory_p1
2052,2052,129864,128,COSMA (this work) ,423.73799999999994,memory_p1
2052,2052,129864,144,COSMA (this work) ,385.7,memory_p1
2052,2052,129864,144,COSMA (this work) ,389.557,memory_p1
2052,2052,129864,144,COSMA (this work) ,358.70099999999996,memory_p1
2474,2474,188623,252,COSMA (this work) ,501.59999999999997,memory_p1
